time_s,v_out_mV
0,4999.75
4e-06,5003.16
8e-06,5000.26
1.2e-05,4997.24
1.6e-05,5001.74
2e-05,5001.4
2.4e-05,4999.68
2.8e-05,4999.36
3.2e-05,5001.65
3.6e-05,4999.04
4e-05,4997.35
4.4e-05,5001.86
4.8e-05,5000.79
5.2e-05,5000.38
5.6e-05,5000.91
6e-05,4998.51
6.4e-05,4999.65
6.8e-05,5001.2
7.2e-05,4998.91
7.6e-05,4998.76
8e-05,5002.6
8.4e-05,4998.5
8.8e-05,5001.52
9.2e-05,5001.94
9.6e-05,4999.53
0.0001,4999.88
0.000104,5000.18
0.000108,4998.85
0.000112,5003.59
0.000116,5001.17
0.00012,4999.27
0.000124,4999.78
0.000128,4997.51
0.000132,4999.41
0.000136,5000.7
0.00014,4997.66
0.000144,4999.8
0.000148,4996.9
0.000152,5002.72
0.000156,5000.91
0.00016,4998.83
0.000164,4999.1
0.000168,5001.52
0.000172,5000.75
0.000176,5000.73
0.00018,4998.23
0.000184,4997.33
0.000188,4999.81
0.000192,4997.57
0.000196,4996.83
0.0002,5001.14
0.000204,5001.65
0.000208,4998.75
0.000212,4999.57
0.000216,4998.86
0.00022,4997.26
0.000224,5000.37
0.000228,5000.95
0.000232,4999.72
0.000236,5001.77
0.00024,5002.26
0.000244,5000.36
0.000248,4999
0.000252,5001.97
0.000256,5002.96
0.00026,4999.49
0.000264,5000.59
0.000268,4999.37
0.000272,5001.65
0.000276,4998.71
0.00028,4998.22
0.000284,5000.57
0.000288,5002.85
0.000292,4999.14
0.000296,5000.42
0.0003,5000.84
0.000304,4998.12
0.000308,4999.38
0.000312,4999.67
0.000316,5002.78
0.00032,5005.29
0.000324,4997.94
0.000328,5000.64
0.000332,4998.21
0.000336,5002.54
0.00034,4999.64
0.000344,5001.01
0.000348,4997.53
0.000352,5002.09
0.000356,4998.98
0.00036,5000.99
0.000364,5000.17
0.000368,5001.54
0.000372,5001.74
0.000376,5000.24
0.00038,5000.55
0.000384,4996.48
0.000388,5002.86
0.000392,5001.27
0.000396,4998.99
0.0004,5001.73
0.000404,5001.19
0.000408,5001.94
0.000412,5000.02
0.000416,5000.81
0.00042,5000.66
0.000424,5000.96
0.000428,5000.04
0.000432,4999.19
0.000436,4999.34
0.00044,5000.63
0.000444,5000.89
0.000448,4997.82
0.000452,4999.86
0.000456,5000.75
0.00046,4999.81
0.000464,4999.68
0.000468,4998.16
0.000472,5000.21
0.000476,4999.37
0.00048,5000.37
0.000484,5002.13
0.000488,5002.62
0.000492,5001.65
0.000496,5001.44
0.0005,5000.52
0.000504,4998.71
0.000508,4997.37
0.000512,4997.98
0.000516,5001.15
0.00052,5001.02
0.000524,5002.44
0.000528,5001.29
0.000532,4998.94
0.000536,5000.94
0.00054,5000.64
0.000544,5001.24
0.000548,5000.05
0.000552,5000.12
0.000556,4998.72
0.00056,4997.48
0.000564,4999.07
0.000568,5001.8
0.000572,4999.71
0.000576,5000.1
0.00058,5001.22
0.000584,5003.27
0.000588,4999.78
0.000592,5002.58
0.000596,4998.62
0.0006,4998.72
0.000604,4999.89
0.000608,5003.66
0.000612,5000.99
0.000616,5000.12
0.00062,4997.04
0.000624,4999.26
0.000628,4999.83
0.000632,4998.74
0.000636,4999.04
0.00064,4999.82
0.000644,5000.45
0.000648,5000.82
0.000652,5001.09
0.000656,4997.32
0.00066,5003.64
0.000664,4999.76
0.000668,5002.09
0.000672,4998.45
0.000676,4999.78
0.00068,4999.12
0.000684,5000.84
0.000688,4997.61
0.000692,4998.78
0.000696,4998.69
0.0007,5001.2
0.000704,4998.19
0.000708,4996.85
0.000712,5000.44
0.000716,5001.46
0.00072,5002.48
0.000724,4999.68
0.000728,4999.6
0.000732,4998.1
0.000736,5001.71
0.00074,4999.64
0.000744,5000.87
0.000748,4998.15
0.000752,4999.44
0.000756,5000.16
0.00076,4999.7
0.000764,4999.51
0.000768,4998.96
0.000772,5001.56
0.000776,4999.79
0.00078,5002.03
0.000784,4997
0.000788,5000.41
0.000792,4999.4
0.000796,4998.34
0.0008,5000.57
0.000804,4999.81
0.000808,5000.3
0.000812,5000.16
0.000816,5001.35
0.00082,4998.96
0.000824,5001.84
0.000828,4999.86
0.000832,4999.32
0.000836,4998.86
0.00084,4999.73
0.000844,4999.04
0.000848,4999.32
0.000852,4998.03
0.000856,4999.45
0.00086,4999.41
0.000864,4998.46
0.000868,4998.25
0.000872,4999.51
0.000876,4999.25
0.00088,5000.68
0.000884,4998.44
0.000888,4998.64
0.000892,5002.42
0.000896,5000.93
0.0009,5001.65
0.000904,4999.32
0.000908,4999.87
0.000912,4998.74
0.000916,5001.77
0.00092,5000.17
0.000924,4999.05
0.000928,5000.32
0.000932,4999.05
0.000936,5001.52
0.00094,5001.36
0.000944,5001.79
0.000948,5001.34
0.000952,5001.57
0.000956,4998.67
0.00096,4999.65
0.000964,5000.29
0.000968,4999.58
0.000972,5000.4
0.000976,4999.35
0.00098,5000.41
0.000984,5001.8
0.000988,5002.38
0.000992,4998.12
0.000996,5001.05
0.001,4942.47
0.001004,4939.46
0.001008,4938.83
0.001012,4941.14
0.001016,4942.09
0.00102,4943.79
0.001024,4939.74
0.001028,4945.24
0.001032,4948.19
0.001036,4947.6
0.00104,4949.73
0.001044,4949.09
0.001048,4953.27
0.001052,4956.57
0.001056,4954.65
0.00106,4959.24
0.001064,4961.51
0.001068,4963.22
0.001072,4963.01
0.001076,4968.56
0.00108,4969.03
0.001084,4971.74
0.001088,4972.45
0.001092,4974.78
0.001096,4977.72
0.0011,4979.68
0.001104,4982.92
0.001108,4983.97
0.001112,4986.57
0.001116,4983.8
0.00112,4990.68
0.001124,4991
0.001128,4992.08
0.001132,4994.16
0.001136,4995.18
0.00114,4995.57
0.001144,5000.2
0.001148,5001.08
0.001152,4999.98
0.001156,5000.86
0.00116,5004.94
