time_s,v_out_mV
0,5001.96
4e-06,4998.76
8e-06,4999.26
1.2e-05,4998.75
1.6e-05,5000
2e-05,5000.28
2.4e-05,5001.05
2.8e-05,5004.24
3.2e-05,5000
3.6e-05,5002.38
4e-05,5000.84
4.4e-05,5000.36
4.8e-05,4998.15
5.2e-05,4999.55
5.6e-05,4998.84
6e-05,5002.36
6.4e-05,5000.75
6.8e-05,5000.27
7.2e-05,4999.8
7.6e-05,5003.07
8e-05,4998.91
8.4e-05,5001.07
8.8e-05,5002.27
9.2e-05,5001.1
9.6e-05,5002.78
0.0001,5002.07
0.000104,5001.27
0.000108,5000.65
0.000112,5000.59
0.000116,5001.37
0.00012,5001.57
0.000124,4999.58
0.000128,5000.01
0.000132,5001.75
0.000136,4997.2
0.00014,5000.41
0.000144,4996.63
0.000148,4997.84
0.000152,4999.09
0.000156,4999.4
0.00016,5001.07
0.000164,4999.41
0.000168,5001.59
0.000172,4997.72
0.000176,5000.14
0.00018,4999.81
0.000184,4999.74
0.000188,5000.13
0.000192,4999.78
0.000196,5000.06
0.0002,5001.51
0.000204,4999.64
0.000208,5000.91
0.000212,4998.07
0.000216,4999.31
0.00022,5000.32
0.000224,5000.15
0.000228,5001.47
0.000232,5000.02
0.000236,5001
0.00024,5002
0.000244,5001.22
0.000248,4999.6
0.000252,5000.8
0.000256,4999.89
0.00026,4998.4
0.000264,5001.13
0.000268,4997.65
0.000272,4999.52
0.000276,5001.22
0.00028,5000.28
0.000284,4998.58
0.000288,5001.04
0.000292,4998.86
0.000296,5003.69
0.0003,4999.85
0.000304,5001.96
0.000308,4999.78
0.000312,5001.06
0.000316,4998.34
0.00032,4999.42
0.000324,4997.06
0.000328,5001
0.000332,5000.34
0.000336,5001.36
0.00034,5000.53
0.000344,4998.32
0.000348,4999.98
0.000352,4998.36
0.000356,4999.03
0.00036,5000.1
0.000364,5000.52
0.000368,4999.89
0.000372,5001.74
0.000376,4999.74
0.00038,4997.26
0.000384,5001.57
0.000388,5000.43
0.000392,5000.16
0.000396,5000.38
0.0004,5001.61
0.000404,4998.35
0.000408,5001.75
0.000412,4998.04
0.000416,5001.99
0.00042,4997.02
0.000424,5000.6
0.000428,5004.74
0.000432,5001.11
0.000436,5001.14
0.00044,4996.56
0.000444,5003.12
0.000448,5000.65
0.000452,4998.8
0.000456,5003.37
0.00046,4999.04
0.000464,5000.26
0.000468,5000.07
0.000472,4998.63
0.000476,4998.92
0.00048,4999.1
0.000484,4999.46
0.000488,5001.03
0.000492,4998.58
0.000496,5000.21
0.0005,4998.66
0.000504,4999.93
0.000508,5000.25
0.000512,5002.19
0.000516,5002.21
0.00052,4999.8
0.000524,4999.87
0.000528,5000.49
0.000532,5003.35
0.000536,5002.86
0.00054,4999.57
0.000544,5001.31
0.000548,4998.91
0.000552,4997.42
0.000556,4998.72
0.00056,5003.53
0.000564,5000.78
0.000568,4999.52
0.000572,5000.11
0.000576,4998.71
0.00058,4999.75
0.000584,4996.88
0.000588,5000.67
0.000592,4998.32
0.000596,5001.28
0.0006,4998.9
0.000604,4999.17
0.000608,5002.21
0.000612,5000.77
0.000616,4999.93
0.00062,5001.63
0.000624,5002.59
0.000628,5000.58
0.000632,5000.44
0.000636,5003.06
0.00064,4998.77
0.000644,5000.58
0.000648,5001.31
0.000652,5000.25
0.000656,5000.22
0.00066,4999.48
0.000664,4997.55
0.000668,4999.39
0.000672,5000.77
0.000676,5001.15
0.00068,5001.93
0.000684,4999.46
0.000688,4999.9
0.000692,4999.69
0.000696,4997.46
0.0007,4999.34
0.000704,4998.89
0.000708,5001.31
0.000712,5001.82
0.000716,4999.76
0.00072,5000.24
0.000724,4997.89
0.000728,4999.52
0.000732,5001.62
0.000736,5000.48
0.00074,5000.55
0.000744,5001.68
0.000748,5000.31
0.000752,4999.22
0.000756,5001.6
0.00076,5001.59
0.000764,4999.49
0.000768,4997.44
0.000772,5001.15
0.000776,5000.93
0.00078,4999.9
0.000784,4999.69
0.000788,5001.75
0.000792,4997.97
0.000796,5001.77
0.0008,4996.88
0.000804,4999.26
0.000808,4999.35
0.000812,4997.9
0.000816,5001.33
0.00082,5000.51
0.000824,5001.04
0.000828,5002.78
0.000832,4999.72
0.000836,4999.47
0.00084,5000.3
0.000844,5000.21
0.000848,5000.42
0.000852,5000
0.000856,5000.94
0.00086,4999.94
0.000864,4997.6
0.000868,4998.75
0.000872,5001.2
0.000876,4998.09
0.00088,4998.75
0.000884,5002.77
0.000888,5001.75
0.000892,5000.09
0.000896,4999.87
0.0009,5001.46
0.000904,4998.87
0.000908,4999.96
0.000912,4998.94
0.000916,5000.33
0.00092,5000.17
0.000924,5003.95
0.000928,4998.25
0.000932,4997.66
0.000936,4997.42
0.00094,5002.3
0.000944,5002.04
0.000948,5001.33
0.000952,4999.7
0.000956,5000.89
0.00096,4998.29
0.000964,4999
0.000968,5000.65
0.000972,5000.73
0.000976,5000.6
0.00098,5001.04
0.000984,4998.08
0.000988,5001.33
0.000992,5002.35
0.000996,5000.64
0.001,4926.17
0.001004,4924.41
0.001008,4926.32
0.001012,4926.65
0.001016,4927.67
0.00102,4926.83
0.001024,4926.3
0.001028,4929.35
0.001032,4929.58
0.001036,4929.83
0.00104,4930.54
0.001044,4935.65
0.001048,4937.22
0.001052,4936.06
0.001056,4932.88
0.00106,4939.6
0.001064,4940.61
0.001068,4945.73
0.001072,4941.09
0.001076,4943.49
0.00108,4946.91
0.001084,4946.95
0.001088,4952.13
0.001092,4951.68
0.001096,4953.64
0.0011,4954.49
0.001104,4955.27
0.001108,4956.81
0.001112,4958.61
0.001116,4961.64
0.00112,4961.43
0.001124,4962.16
0.001128,4966.39
0.001132,4963.52
0.001136,4967.4
0.00114,4969.98
0.001144,4969.81
0.001148,4971.53
0.001152,4972.6
0.001156,4973.97
0.00116,4977.69
0.001164,4977.11
0.001168,4980.17
0.001172,4981.02
0.001176,4980.51
0.00118,4983.9
0.001184,4984.43
0.001188,4983.86
0.001192,4984.69
0.001196,4985.41
0.0012,4992.11
0.001204,4985.68
0.001208,4990.33
0.001212,4989.12
0.001216,4990.96
0.00122,4993.03
0.001224,4991.81
0.001228,4992.26
0.001232,4990.28
0.001236,4993.89
0.00124,4996.06
0.001244,4996.96
0.001248,4994.67
0.001252,4996.63
0.001256,4998.18
0.00126,4997.55
0.001264,4997.73
0.001268,4998.03
0.001272,4997.39
0.001276,4999.25
0.00128,4998.6
0.001284,4998.25
0.001288,5000.52
0.001292,4997.17
0.001296,4997.63
0.0013,5001.84
0.001304,5002.99
0.001308,5001.22
0.001312,5003.16
0.001316,5003.39
0.00132,5001.45
0.001324,5001.6
0.001328,5001.8
0.001332,5001.31
0.001336,5002.88
0.00134,5001.98
0.001344,5002.01
0.001348,5002.91
0.001352,5002.68
0.001356,5000.05
0.00136,5005.17
0.001364,5004.36
0.001368,5003.85
0.001372,5001.54
0.001376,5001.75
0.00138,5002.27
0.001384,5002.26
0.001388,5004.05
0.001392,5002.43
0.001396,5002.28
0.0014,5001.18
0.001404,5001.97
0.001408,5000.34
0.001412,5001.13
0.001416,5002.11
0.00142,5002.34
0.001424,5001.38
0.001428,5002.1
0.001432,5003.02
0.001436,5003.1
0.00144,5002.99
0.001444,4999.08
0.001448,5004.59
0.001452,5003.14
0.001456,5001.16
0.00146,5002.33
0.001464,5002.95
0.001468,5003.54
0.001472,5003.65
0.001476,5002.04
0.00148,5003.87
0.001484,5004.2
0.001488,5001.46
0.001492,5003.22
0.001496,5001.22
0.0015,5001.73
0.001504,4999.3
0.001508,5000.88
0.001512,5001.02
0.001516,5001.1
0.00152,5001.64
0.001524,4998.01
0.001528,5000.38
0.001532,5002.59
0.001536,5000.07
0.00154,5001.47
0.001544,5002.59
0.001548,5000.74
0.001552,4999.92
0.001556,4998.64
0.00156,5001.87
0.001564,5000.42
0.001568,5000.36
0.001572,4998.78
0.001576,5002.56
0.00158,5003.2
0.001584,4999.27
0.001588,5000.23
0.001592,5001.01
0.001596,5000.51
0.0016,5000.14
0.001604,5001.11
0.001608,5000.79
0.001612,5000.47
0.001616,5000.49
0.00162,5000.44
0.001624,5000.92
0.001628,4999.33
0.001632,5001.63
0.001636,5001.71
0.00164,4998.88
0.001644,4999.89
0.001648,5000.99
0.001652,5000.62
0.001656,4997.79
0.00166,4999.02
0.001664,4999.83
0.001668,4997.33
0.001672,5001.79
0.001676,5001.76
0.00168,4999.69
0.001684,5001.36
0.001688,4999.31
0.001692,4999.89
0.001696,4999.4
0.0017,5002.99
0.001704,4999.3
0.001708,4999.76
0.001712,4999.11
0.001716,5001.12
0.00172,5001.35
0.001724,5002.1
0.001728,4998.47
0.001732,5001.26
0.001736,4997.59
0.00174,5002.4
0.001744,5002.11
0.001748,5000.48
0.001752,4997.69
0.001756,5001.87
0.00176,4999.79
0.001764,4999.09
0.001768,5000.3
0.001772,4997.24
0.001776,5000.25
0.00178,5000.23
0.001784,5000.57
0.001788,4997.62
0.001792,4997.87
0.001796,5001.9
0.0018,5003.11
0.001804,5000.34
0.001808,5001.88
0.001812,4999.69
0.001816,4998.95
0.00182,5000.09
0.001824,5001.76
0.001828,4997.98
0.001832,4998.59
0.001836,5001.5
0.00184,4998.08
0.001844,4999.23
0.001848,4999.4
0.001852,4998.87
0.001856,5002.31
0.00186,4999.93
0.001864,5000.75
0.001868,5001.16
0.001872,5001.3
0.001876,5002.63
0.00188,4998.15
0.001884,5001.02
0.001888,4999.82
0.001892,4997.55
0.001896,4996.83
0.0019,4999.84
0.001904,4999.38
0.001908,5000.4
0.001912,4999.79
0.001916,5000.54
0.00192,5000.92
0.001924,5000.57
0.001928,4996.96
0.001932,4997.54
0.001936,5000.11
0.00194,5001.58
0.001944,4999.17
0.001948,4998.08
0.001952,4998.49
0.001956,4999.05
0.00196,5001.71
0.001964,4999.59
0.001968,4997.59
0.001972,4999.34
0.001976,5003.03
0.00198,4997.56
0.001984,4998.13
0.001988,5000.85
0.001992,4998.46
0.001996,4999.08
0.002,4997.58
0.002004,5001.96
0.002008,4999.48
0.002012,5001.36
0.002016,4995.59
0.00202,5001.14
0.002024,4997.54
0.002028,5003.59
0.002032,5001.19
0.002036,4997.32
0.00204,4998.29
0.002044,4999.57
0.002048,4999.01
0.002052,4999.86
0.002056,4998.99
0.00206,4997.9
0.002064,5001.51
0.002068,5001.37
0.002072,4999.8
0.002076,5000.42
0.00208,5000.3
0.002084,5000.17
0.002088,4998.02
0.002092,5003.5
0.002096,4999.98
0.0021,4999.93
0.002104,5001.11
0.002108,4998.95
0.002112,4999.06
0.002116,4998.03
0.00212,5000.3
0.002124,5001.24
0.002128,4998.83
0.002132,5000.63
0.002136,4996.85
0.00214,4998.52
0.002144,4998.15
0.002148,4996.96
0.002152,5000.18
0.002156,4999.82
0.00216,4998.59
0.002164,4999.62
0.002168,4999.01
0.002172,5001.41
0.002176,4998.36
0.00218,5000.58
0.002184,4998.84
0.002188,5001.64
0.002192,4998.81
0.002196,4999.43
0.0022,5001.77
0.002204,5001.2
0.002208,4996.76
0.002212,4998.36
0.002216,5001.83
0.00222,4999.26
0.002224,5001.3
0.002228,5000.63
0.002232,4998.39
0.002236,5002.08
0.00224,4999.57
0.002244,5001.79
0.002248,4999.08
0.002252,4998.72
0.002256,4999.38
0.00226,5001.25
0.002264,4998.02
0.002268,5002.65
0.002272,5000.15
0.002276,4997.01
0.00228,4999.79
0.002284,5000.16
0.002288,4998.41
0.002292,5001.38
0.002296,5000.77
0.0023,4997.95
0.002304,4999.91
0.002308,5000.13
0.002312,4999.34
0.002316,4998.81
0.00232,5000.05
0.002324,4999.75
0.002328,4999.9
0.002332,5001.57
0.002336,5001.09
0.00234,5001.79
0.002344,5001.05
0.002348,5000.94
0.002352,5001.81
0.002356,4998.47
0.00236,5000.34
0.002364,4998.57
0.002368,5001.6
0.002372,5001.45
0.002376,4999.45
0.00238,4999.87
0.002384,4997.16
0.002388,4998.85
0.002392,5001.98
0.002396,5001.01
0.0024,5000.35
0.002404,4998.57
0.002408,4999.57
0.002412,5001.3
0.002416,5002.16
0.00242,5000.79
0.002424,5002.51
0.002428,5000.34
0.002432,5004.32
0.002436,5002.59
0.00244,5001.23
0.002444,4999.53
0.002448,5002.5
0.002452,4998.47
0.002456,5002.41
0.00246,5000.28
0.002464,4999.01
0.002468,5001.5
0.002472,5002.21
0.002476,5000.94
0.00248,5000.25
0.002484,4999.55
0.002488,4999.56
0.002492,4999.51
0.002496,5001.5
0.0025,4999.23
0.002504,4998.42
0.002508,4998.42
0.002512,4999.27
0.002516,5001.97
0.00252,4998.13
0.002524,5000.41
0.002528,5000.03
0.002532,5000.67
0.002536,4999.13
0.00254,4999.01
0.002544,5003.62
0.002548,4998.49
0.002552,4998.67
0.002556,4999.51
0.00256,5002.14
0.002564,4998.58
0.002568,4999.6
0.002572,4997.86
0.002576,4998.97
0.00258,4999.75
0.002584,5000.21
0.002588,4998.63
0.002592,5003.11
0.002596,4998.66
0.0026,4999.41
0.002604,4999.22
0.002608,4999.48
0.002612,5001.41
0.002616,5002.53
0.00262,4997.76
0.002624,4998.64
0.002628,5004.66
0.002632,5002.19
0.002636,4998.8
0.00264,5001.68
0.002644,5000.13
0.002648,4997.63
0.002652,4999.08
0.002656,5000.05
0.00266,4999.62
0.002664,4999.88
0.002668,4999.44
0.002672,4998.8
0.002676,4999.65
0.00268,4999.18
0.002684,5000.46
0.002688,5001.85
0.002692,5002.41
0.002696,5001.7
0.0027,5002.54
0.002704,5001.71
0.002708,4998.9
0.002712,5000.53
0.002716,5001.41
0.00272,5002.42
0.002724,5001.35
0.002728,5000.12
0.002732,4998.79
0.002736,5000.96
0.00274,5001.57
0.002744,5000.58
0.002748,4998.19
0.002752,5001.2
0.002756,5000.33
0.00276,4999.83
