time_s,v_out_mV
0,4998.11
4e-06,4999.43
8e-06,4998.38
1.2e-05,5001
1.6e-05,5001.43
2e-05,5001.14
2.4e-05,4999.64
2.8e-05,4998.73
3.2e-05,5001.5
3.6e-05,5000.37
4e-05,5000.85
4.4e-05,5001.14
4.8e-05,4999.09
5.2e-05,5001.05
5.6e-05,5000.52
6e-05,5001.08
6.4e-05,4998.98
6.8e-05,5000.27
7.2e-05,5000.24
7.6e-05,4999.58
8e-05,4999.92
8.4e-05,4998.97
8.8e-05,4999.61
9.2e-05,5003.52
9.6e-05,4996.05
0.0001,5002.43
0.000104,4996.56
0.000108,5003.24
0.000112,4999.14
0.000116,4997.92
0.00012,4999.75
0.000124,4999.53
0.000128,5001.15
0.000132,5000.43
0.000136,5000.32
0.00014,5000.8
0.000144,4998.42
0.000148,4999.42
0.000152,4998.66
0.000156,4997.86
0.00016,5000.36
0.000164,5000.93
0.000168,5002.53
0.000172,4999.36
0.000176,4998.97
0.00018,4998.06
0.000184,4998.8
0.000188,4998.76
0.000192,5002.51
0.000196,5000.72
0.0002,5003.35
0.000204,5001.23
0.000208,4999.01
0.000212,4998.44
0.000216,5000.48
0.00022,4998.66
0.000224,5001.11
0.000228,5002.27
0.000232,4998.38
0.000236,4999.03
0.00024,4999.39
0.000244,5000.47
0.000248,4999.3
0.000252,4997.81
0.000256,5000.14
0.00026,4996.5
0.000264,4998.9
0.000268,5000.75
0.000272,5001.77
0.000276,4998.62
0.00028,5000.51
0.000284,5000.03
0.000288,4997.5
0.000292,5002.17
0.000296,5001.7
0.0003,5000.49
0.000304,4999.16
0.000308,5000.46
0.000312,4997.56
0.000316,4996.38
0.00032,5001.22
0.000324,4998.15
0.000328,5000.18
0.000332,4997.27
0.000336,5000.37
0.00034,5000.68
0.000344,4999.57
0.000348,4999.58
0.000352,5001.75
0.000356,4999.54
0.00036,5000.29
0.000364,5000.29
0.000368,4998.58
0.000372,5001.35
0.000376,4998.92
0.00038,5002.35
0.000384,5002.21
0.000388,5000.35
0.000392,4998.99
0.000396,4999.08
0.0004,4998.21
0.000404,4998.87
0.000408,4998.88
0.000412,5000.02
0.000416,5001.65
0.00042,4997.42
0.000424,5000.66
0.000428,4998.48
0.000432,4999.75
0.000436,5001.98
0.00044,5000.47
0.000444,4996.8
0.000448,5000.13
0.000452,5001.04
0.000456,4999.36
0.00046,5001.09
0.000464,4998.67
0.000468,4999.21
0.000472,5003.22
0.000476,4998.16
0.00048,4999.15
0.000484,4999.85
0.000488,5000.46
0.000492,4999.86
0.000496,5000.45
0.0005,4999.17
0.000504,5000.26
0.000508,5001.43
0.000512,4998.63
0.000516,4995.99
0.00052,5003.22
0.000524,4999.69
0.000528,5003.99
0.000532,4998.43
0.000536,5000.38
0.00054,5000.44
0.000544,5000.34
0.000548,4999.18
0.000552,5001.63
0.000556,4999.22
0.00056,5000.81
0.000564,4999.18
0.000568,4998.04
0.000572,4999.83
0.000576,5000.33
0.00058,5000.38
0.000584,5000.69
0.000588,5000.22
0.000592,4998.89
0.000596,4999.37
0.0006,5000.69
0.000604,5001.29
0.000608,5000.49
0.000612,5001.43
0.000616,5000.17
0.00062,4999.79
0.000624,4999.09
0.000628,4999.8
0.000632,4999.43
0.000636,5001.42
0.00064,4998.2
0.000644,4999.64
0.000648,4998.5
0.000652,5001.58
0.000656,4999.15
0.00066,4997.24
0.000664,4999.61
0.000668,5000.86
0.000672,4999.12
0.000676,5002.33
0.00068,5000.1
0.000684,5001.2
0.000688,4998.58
0.000692,5000.77
0.000696,4996.71
0.0007,5000.14
0.000704,5002.39
0.000708,5002.65
0.000712,5000.32
0.000716,4998.62
0.00072,5002.46
0.000724,5001.27
0.000728,4997.97
0.000732,5002.98
0.000736,4998.97
0.00074,4999.45
0.000744,5000.75
0.000748,4998.21
0.000752,5001.33
0.000756,5001.6
0.00076,5000.05
0.000764,5001.49
0.000768,4999.85
0.000772,5000.99
0.000776,5000.62
0.00078,5000.96
0.000784,4999.21
0.000788,4998.8
0.000792,4997.43
0.000796,5000.02
0.0008,4997.16
0.000804,5001.5
0.000808,4998.94
0.000812,4999.23
0.000816,5001.74
0.00082,5001.13
0.000824,4998.69
0.000828,4999.56
0.000832,5002.84
0.000836,4997.86
0.00084,4998.54
0.000844,4998.63
0.000848,4999.38
0.000852,5000.11
0.000856,4998.55
0.00086,4999.85
0.000864,4999.8
0.000868,5001.73
0.000872,5001.51
0.000876,5000.59
0.00088,4999.14
0.000884,4999.85
0.000888,5000.72
0.000892,5001.37
0.000896,4999.65
0.0009,5002.75
0.000904,5000.61
0.000908,5000.15
0.000912,4998.41
0.000916,4998.17
0.00092,5000.34
0.000924,5000.56
0.000928,4997.99
0.000932,4997.79
0.000936,4999.13
0.00094,4998.73
0.000944,4998.81
0.000948,4998.49
0.000952,5000.2
0.000956,5000.35
0.00096,5000.15
0.000964,5000.34
0.000968,4999.09
0.000972,5001.07
0.000976,4999.36
0.00098,5001.74
0.000984,5001.43
0.000988,5000.78
0.000992,4999.19
0.000996,4999.47
0.001,4888.21
0.001004,4888.88
0.001008,4891.55
0.001012,4892.73
0.001016,4894.39
0.00102,4894.58
0.001024,4893.83
0.001028,4898.67
0.001032,4899.57
0.001036,4899.74
0.00104,4904.5
0.001044,4905.24
0.001048,4905.04
0.001052,4908.42
0.001056,4913.77
0.00106,4914.34
0.001064,4916.01
0.001068,4919.73
0.001072,4924.46
0.001076,4925.4
0.00108,4928
0.001084,4932.4
0.001088,4934.16
0.001092,4937.96
0.001096,4939.9
0.0011,4942.35
0.001104,4948.53
0.001108,4946.42
0.001112,4949.34
0.001116,4951.01
0.00112,4955.57
0.001124,4960.42
0.001128,4963.06
0.001132,4964.35
0.001136,4966.59
0.00114,4966.52
0.001144,4967.44
0.001148,4973.86
0.001152,4971.38
0.001156,4976.09
0.00116,4978.49
0.001164,4979.27
0.001168,4982.34
0.001172,4982.37
0.001176,4983.25
0.00118,4984.86
0.001184,4988.89
0.001188,4986.93
0.001192,4991.26
0.001196,4991.5
0.0012,4992.6
0.001204,4994.07
0.001208,4993.35
0.001212,4995.84
0.001216,4999.32
0.00122,4995.11
0.001224,4998.99
0.001228,5000.27
0.001232,4999.35
0.001236,4999.28
0.00124,4999.57
0.001244,4997.73
0.001248,5002.6
0.001252,5004.49
0.001256,5003.82
0.00126,5003.67
0.001264,5003.19
0.001268,5002.36
0.001272,5002.99
0.001276,5005.63
0.00128,5004.61
0.001284,5006.35
0.001288,5006.82
0.001292,5005.38
0.001296,5011.01
0.0013,5007.18
0.001304,5004.05
0.001308,5006.49
0.001312,5005.05
0.001316,5005.73
0.00132,5006.64
0.001324,5005.04
0.001328,5006.39
0.001332,5005.86
0.001336,5006.84
0.00134,5004.56
0.001344,5006.62
0.001348,5007.56
0.001352,5004.74
0.001356,5006.93
0.00136,5005.62
0.001364,5004.16
0.001368,5002.77
0.001372,5004.55
0.001376,5005.99
0.00138,5004.7
0.001384,5003.71
0.001388,5003.63
0.001392,5001.84
0.001396,5004.5
0.0014,5001.36
0.001404,5001.49
0.001408,5003.68
0.001412,5004.45
0.001416,5003.18
0.00142,5000.98
0.001424,5002.5
0.001428,5002.9
0.001432,5001.3
0.001436,4999.91
0.00144,5004.34
0.001444,5001.47
0.001448,4999.94
0.001452,4999.69
0.001456,4998.72
0.00146,4997.99
0.001464,5003.44
0.001468,5002.01
0.001472,5002.53
0.001476,5001.16
0.00148,5000.96
0.001484,4999.9
0.001488,4999.58
0.001492,4998.57
0.001496,5003.35
0.0015,5002.74
0.001504,5001.7
0.001508,4997.9
0.001512,4998.23
0.001516,4999.48
0.00152,4999.55
0.001524,5001.24
0.001528,4999.89
0.001532,5000.65
0.001536,4998.66
0.00154,5000.45
0.001544,5000.55
0.001548,4998.54
0.001552,5003.34
0.001556,5002
0.00156,5000.68
0.001564,5002.06
0.001568,4999.23
0.001572,5001.12
0.001576,5002.14
0.00158,4999.89
0.001584,5000.86
0.001588,4997.19
0.001592,4999.26
0.001596,5001.59
0.0016,4999.59
0.001604,4999.44
0.001608,4997.92
0.001612,5000.63
0.001616,4998.41
0.00162,5000.21
0.001624,4998.89
0.001628,4997.39
0.001632,4999.96
0.001636,4999.08
0.00164,5000.01
0.001644,4997.72
0.001648,5000.58
0.001652,5000.49
0.001656,5000.98
0.00166,5000.14
0.001664,5000.47
0.001668,4998.06
0.001672,4999.11
0.001676,5000.07
0.00168,5003.29
0.001684,5003.79
0.001688,4999.95
0.001692,5000.31
0.001696,4998.27
0.0017,5000.52
0.001704,5002.96
0.001708,5000.54
0.001712,4998.74
0.001716,5001.29
0.00172,4998.2
0.001724,4998.51
0.001728,5002.43
0.001732,5000.69
0.001736,5000.49
0.00174,5001.72
0.001744,5001.6
0.001748,4998.54
0.001752,5000.5
0.001756,5001.38
0.00176,4999.36
0.001764,4998.26
0.001768,4996.4
0.001772,4999.32
0.001776,5000.72
0.00178,5000.61
0.001784,5001.15
0.001788,4999.82
0.001792,4999.3
0.001796,5001.35
0.0018,5001.38
0.001804,4999.92
0.001808,4996.86
0.001812,4998.69
0.001816,4999.84
0.00182,4998.04
0.001824,5000.21
0.001828,4997.61
0.001832,4998.82
0.001836,4998.91
0.00184,5002.47
0.001844,5000.74
0.001848,5000.59
0.001852,4999.43
0.001856,4999.29
0.00186,4997.93
0.001864,5000.52
0.001868,4998.04
0.001872,4999.17
0.001876,4996.71
0.00188,5001.27
0.001884,5000.63
0.001888,4998.55
0.001892,5001.09
0.001896,5001.05
0.0019,5000.81
0.001904,5000.46
0.001908,5000.38
0.001912,5001.5
0.001916,5000.08
0.00192,4999.21
0.001924,4999.6
0.001928,4999.84
0.001932,4999.86
0.001936,5001.51
0.00194,5000.09
0.001944,5000.05
0.001948,4998.59
0.001952,4999.06
0.001956,4999.84
0.00196,4999.34
0.001964,5000.96
0.001968,5001.22
0.001972,5000.9
0.001976,5001.26
0.00198,5001.28
0.001984,4999.86
0.001988,4997.35
0.001992,4999.96
0.001996,5001.5
0.002,5000.07
0.002004,5001.21
0.002008,4999.74
0.002012,5001.26
0.002016,5002
0.00202,4999.3
0.002024,4999.78
0.002028,5001.71
0.002032,4999.16
0.002036,4997.75
0.00204,5002.17
0.002044,4996.21
0.002048,4998.19
0.002052,4999.71
0.002056,4998.39
0.00206,5000.99
0.002064,5003.55
0.002068,5003.45
0.002072,4999.29
0.002076,5001.27
0.00208,4999.4
0.002084,4999.02
0.002088,4999.77
0.002092,4998.4
0.002096,4999.65
0.0021,4997.39
0.002104,4997.28
0.002108,4998.84
0.002112,5001.82
0.002116,5000.07
0.00212,4999.79
0.002124,5000.01
0.002128,4999.61
0.002132,4998.55
0.002136,5001.46
0.00214,4997.85
0.002144,5000.99
0.002148,5000.09
0.002152,5000.23
0.002156,5000.99
0.00216,5001.43
0.002164,4999.1
0.002168,4996.61
0.002172,4997.21
0.002176,4997.61
0.00218,4999.49
0.002184,5000
0.002188,5003.49
0.002192,4999.56
0.002196,5000.1
0.0022,4999.63
0.002204,4999.46
0.002208,4999.48
0.002212,5001.3
0.002216,4999.77
0.00222,5001.05
0.002224,5001.37
0.002228,4999.79
0.002232,5001.23
0.002236,5000.58
0.00224,4999.83
0.002244,5001.86
0.002248,4999.09
0.002252,4999.14
0.002256,5000.3
0.00226,4999.5
0.002264,5000.28
0.002268,5000.83
0.002272,5000.38
0.002276,4998.94
0.00228,4998.66
0.002284,4999.83
0.002288,5002.22
