time_s,v_out_mV
0,4998.69
4e-06,5001.89
8e-06,4999.75
1.2e-05,4996.44
1.6e-05,4999.88
2e-05,4997.63
2.4e-05,5002.25
2.8e-05,5000.15
3.2e-05,5000.65
3.6e-05,5000.63
4e-05,4997.95
4.4e-05,5000.88
4.8e-05,5001.22
5.2e-05,5003.93
5.6e-05,5001.12
6e-05,5003.66
6.4e-05,4996.82
6.8e-05,4999.91
7.2e-05,5000.46
7.6e-05,4999.23
8e-05,5000.68
8.4e-05,5000.28
8.8e-05,5002.25
9.2e-05,5001.69
9.6e-05,4998.86
0.0001,5002.11
0.000104,5000.65
0.000108,4999.87
0.000112,4996.99
0.000116,5000.15
0.00012,4997.29
0.000124,4999.65
0.000128,5001.32
0.000132,5000.48
0.000136,5001.17
0.00014,5000.86
0.000144,4999.67
0.000148,4998.86
0.000152,5000.69
0.000156,5001.09
0.00016,5001.06
0.000164,4998.08
0.000168,4999.53
0.000172,4998.79
0.000176,4998.1
0.00018,4999.53
0.000184,4998.71
0.000188,5001.87
0.000192,5000.15
0.000196,4999
0.0002,5001.14
0.000204,4999.34
0.000208,4998.29
0.000212,4999.45
0.000216,4998.09
0.00022,5002.51
0.000224,4999.8
0.000228,5001.42
0.000232,5000.14
0.000236,4997.77
0.00024,4999.13
0.000244,5001.65
0.000248,4998.65
0.000252,5000.81
0.000256,5000.59
0.00026,4998.62
0.000264,4998.48
0.000268,5001.04
0.000272,4997.29
0.000276,5001.12
0.00028,5003.61
0.000284,5000.48
0.000288,5001.73
0.000292,5003.28
0.000296,4997.28
0.0003,4997.55
0.000304,5001.05
0.000308,4998.07
0.000312,5002.49
0.000316,5000.16
0.00032,5000.23
0.000324,5000.91
0.000328,5000.18
0.000332,5002.07
0.000336,5000.42
0.00034,5003.2
0.000344,4998.75
0.000348,4999.99
0.000352,5002.5
0.000356,5001.51
0.00036,5000.61
0.000364,4999.21
0.000368,5000.77
0.000372,5002.46
0.000376,5001.66
0.00038,5002.17
0.000384,4998.36
0.000388,5000.68
0.000392,5001.71
0.000396,5002.09
0.0004,4999.21
0.000404,4997.39
0.000408,4998.02
0.000412,4999.39
0.000416,5000.68
0.00042,4997.5
0.000424,4999.17
0.000428,4999.74
0.000432,4999.76
0.000436,5000.66
0.00044,5000.1
0.000444,4998.82
0.000448,4998.46
0.000452,4999.3
0.000456,4998.23
0.00046,4999.58
0.000464,5001.99
0.000468,5001.34
0.000472,4995.67
0.000476,4999.73
0.00048,5001.49
0.000484,5002.34
0.000488,4999.37
0.000492,5001.35
0.000496,5000.02
0.0005,5001.59
0.000504,4997.91
0.000508,5002.09
0.000512,4999.56
0.000516,4999.25
0.00052,4999.41
0.000524,5000.43
0.000528,4998.45
0.000532,4996.29
0.000536,4999.16
0.00054,5000.85
0.000544,5000.95
0.000548,5001.77
0.000552,5000.31
0.000556,4998.27
0.00056,4996.34
0.000564,4997.36
0.000568,4999.48
0.000572,5001.01
0.000576,5000.09
0.00058,4999.36
0.000584,5001.91
0.000588,5000.07
0.000592,4999.14
0.000596,5001.16
0.0006,5000.84
0.000604,4998.86
0.000608,4999.34
0.000612,4997.56
0.000616,4999.33
0.00062,4999.77
0.000624,5000.74
0.000628,5003.1
0.000632,5001.28
0.000636,4998.95
0.00064,4998.67
0.000644,4997.22
0.000648,4999.4
0.000652,5000.87
0.000656,5000.76
0.00066,4997.69
0.000664,4999.86
0.000668,4998.5
0.000672,4999.79
0.000676,5000.82
0.00068,5001.66
0.000684,4999.67
0.000688,4998.81
0.000692,5000.03
0.000696,4998.75
0.0007,4998.62
0.000704,4999.24
0.000708,5002.65
0.000712,4999.3
0.000716,4999.13
0.00072,4999.76
0.000724,5003.19
0.000728,5002.42
0.000732,4999.71
0.000736,4998.67
0.00074,4999.13
0.000744,4998.13
0.000748,5001.35
0.000752,4998.22
0.000756,4999.7
0.00076,5001.5
0.000764,4998.13
0.000768,5001
0.000772,4998.78
0.000776,4995.69
0.00078,4998.57
0.000784,5001.24
0.000788,5000.73
0.000792,4997.94
0.000796,5000.8
0.0008,4999.71
0.000804,5000.9
0.000808,5000.58
0.000812,4998.34
0.000816,4996.62
0.00082,4996.42
0.000824,5001.67
0.000828,5001.92
0.000832,4999.9
0.000836,4999.01
0.00084,5001.22
0.000844,5001.3
0.000848,5003.98
0.000852,5000.87
0.000856,5000.48
0.00086,5000.71
0.000864,5000.16
0.000868,5001.08
0.000872,4999.99
0.000876,5003.25
0.00088,5001.32
0.000884,4999.91
0.000888,4998.67
0.000892,5000.12
0.000896,5000.55
0.0009,5001.55
0.000904,4998.88
0.000908,4999.06
0.000912,5002.08
0.000916,4997.83
0.00092,4999.59
0.000924,5002.05
0.000928,4998.07
0.000932,5001.36
0.000936,5001.67
0.00094,4998.99
0.000944,5001.16
0.000948,4997.34
0.000952,5001.97
0.000956,5000.46
0.00096,4998.26
0.000964,5003.42
0.000968,5001.79
0.000972,5000.46
0.000976,5000.04
0.00098,4999.61
0.000984,5000.65
0.000988,5000.45
0.000992,4998.83
0.000996,4996.72
0.001,4609.14
0.001004,4610.54
0.001008,4614.51
0.001012,4611.94
0.001016,4615.08
0.00102,4614.61
0.001024,4616.51
0.001028,4620.11
0.001032,4616.44
0.001036,4622.65
0.00104,4622.58
0.001044,4626.02
0.001048,4629.72
0.001052,4632.33
0.001056,4635.03
0.00106,4642.31
0.001064,4643.32
0.001068,4646.67
0.001072,4649.77
0.001076,4653.31
0.00108,4657.96
0.001084,4664.1
0.001088,4666.9
0.001092,4671.46
0.001096,4677.86
0.0011,4684.69
0.001104,4683.57
0.001108,4694
0.001112,4699.34
0.001116,4703.5
0.00112,4708.57
0.001124,4714.42
0.001128,4720.56
0.001132,4725.68
0.001136,4731.65
0.00114,4739.5
0.001144,4743.6
0.001148,4748.22
0.001152,4755.76
0.001156,4758.1
0.00116,4765.1
0.001164,4772.8
0.001168,4778.66
0.001172,4785.77
0.001176,4793.12
0.00118,4798.1
0.001184,4801.29
0.001188,4811.23
0.001192,4817.02
0.001196,4821.99
0.0012,4824.63
0.001204,4835.24
0.001208,4841.38
0.001212,4849.32
0.001216,4851.88
0.00122,4858.62
0.001224,4862.58
0.001228,4871.81
0.001232,4876.11
0.001236,4879.97
0.00124,4886.04
0.001244,4891.58
0.001248,4901.6
0.001252,4903.22
0.001256,4909.26
0.00126,4914.46
0.001264,4921.5
0.001268,4928.79
0.001272,4933.97
0.001276,4936.85
0.00128,4944.48
0.001284,4946.2
0.001288,4954.73
0.001292,4956.87
0.001296,4962.13
