time_s,v_out_mV
0,5001.27
4e-06,5000.99
8e-06,4999.54
1.2e-05,4999.57
1.6e-05,4999.19
2e-05,4998.48
2.4e-05,5002.04
2.8e-05,5000.31
3.2e-05,5004.45
3.6e-05,5000.08
4e-05,5000.04
4.4e-05,4999.36
4.8e-05,4996.18
5.2e-05,4999.72
5.6e-05,4998.43
6e-05,4999.31
6.4e-05,5000.93
6.8e-05,5000.12
7.2e-05,4998.78
7.6e-05,5001.8
8e-05,4998.58
8.4e-05,5000.71
8.8e-05,5000.3
9.2e-05,4997.41
9.6e-05,5000.49
0.0001,5001.03
0.000104,5000.28
0.000108,5000.62
0.000112,5000.6
0.000116,5001.83
0.00012,4998.26
0.000124,4999.59
0.000128,4999.79
0.000132,5002.34
0.000136,4999.72
0.00014,4999
0.000144,5001.44
0.000148,4999.63
0.000152,5001.89
0.000156,4997.97
0.00016,4998.97
0.000164,4997.79
0.000168,4999
0.000172,4997.4
0.000176,4999.26
0.00018,5000.33
0.000184,5003.32
0.000188,5000.06
0.000192,4999.99
0.000196,4999.59
0.0002,4998.39
0.000204,4999.39
0.000208,5002.56
0.000212,4997.74
0.000216,4999.45
0.00022,4999.41
0.000224,4997.63
0.000228,4998.68
0.000232,5000.24
0.000236,5000.47
0.00024,5000.36
0.000244,4999.26
0.000248,4996.79
0.000252,4999.59
0.000256,4997.94
0.00026,5002.57
0.000264,5000.7
0.000268,5001.02
0.000272,4999.17
0.000276,5001.06
0.00028,4997.34
0.000284,5001.4
0.000288,5000.44
0.000292,5004.42
0.000296,5001.99
0.0003,5000.27
0.000304,5001.59
0.000308,5000.48
0.000312,5000.32
0.000316,5002.44
0.00032,4999.88
0.000324,4996.54
0.000328,4999.32
0.000332,5003.18
0.000336,5000.31
0.00034,4997.97
0.000344,4998.16
0.000348,5002.57
0.000352,5000.26
0.000356,4999.47
0.00036,5002.11
0.000364,4999.35
0.000368,4999.88
0.000372,4999.42
0.000376,5000.9
0.00038,4999.53
0.000384,4999.08
0.000388,4999.85
0.000392,4998.77
0.000396,5000.08
