time_s,v_out_mV
0,4999.17
4e-06,5000.64
8e-06,5000.19
1.2e-05,5000.61
1.6e-05,5000.6
2e-05,5001.11
2.4e-05,4998.53
2.8e-05,5001.07
3.2e-05,4999.09
3.6e-05,4998.06
4e-05,4998.93
4.4e-05,5000.78
4.8e-05,4997.46
5.2e-05,4997.83
5.6e-05,5000.11
6e-05,5000.65
6.4e-05,5003.22
6.8e-05,5000.14
7.2e-05,5001.04
7.6e-05,4998.17
8e-05,4997.79
8.4e-05,5002.5
8.8e-05,5001.85
9.2e-05,5001.95
9.6e-05,4998.8
0.0001,4997.35
0.000104,4997.63
0.000108,5001.18
0.000112,5000.05
0.000116,5001.02
0.00012,4999.57
0.000124,4997.86
0.000128,5003.26
0.000132,5002.92
0.000136,5000.12
0.00014,4997.73
0.000144,5002.19
0.000148,4999.24
0.000152,5000.14
0.000156,4999.71
0.00016,4999.08
0.000164,4998.08
0.000168,5000.42
0.000172,4999.76
0.000176,5001.24
0.00018,4999.49
0.000184,4998.18
0.000188,5001.04
0.000192,5000.45
0.000196,4999.07
0.0002,4998.01
0.000204,4998.16
0.000208,4999.47
0.000212,4997.86
0.000216,4998.91
0.00022,5000.5
0.000224,4999.62
0.000228,5001.14
0.000232,4999.64
0.000236,5000.77
0.00024,4997.65
0.000244,4997.92
0.000248,5001.56
0.000252,5000.23
0.000256,5000.19
0.00026,4999.16
0.000264,4997.23
0.000268,4999.7
0.000272,5002.39
0.000276,4998.98
0.00028,4999.77
0.000284,4997.07
0.000288,4999.39
0.000292,5001.32
0.000296,4998.02
0.0003,4999.79
0.000304,4999.59
0.000308,5003.79
0.000312,4997.9
0.000316,4999.87
0.00032,4998.98
0.000324,5003.04
0.000328,4999.55
0.000332,5003.47
0.000336,4998.6
0.00034,5000.24
0.000344,5000.08
0.000348,4997.52
0.000352,4998.41
0.000356,5000.91
0.00036,4999.87
0.000364,4998.71
0.000368,5000.64
0.000372,5003.07
0.000376,4998.3
0.00038,4999.6
0.000384,5001.42
0.000388,4999.93
0.000392,4999.38
0.000396,5000.53
0.0004,4998.36
0.000404,5000.93
0.000408,4998.09
0.000412,5001.15
0.000416,4997.73
0.00042,5000.4
0.000424,5001.19
0.000428,5000.58
0.000432,4998.15
0.000436,5000.66
0.00044,4999.78
0.000444,5000.84
0.000448,5001.68
0.000452,4999.79
0.000456,5001.77
0.00046,4999.17
0.000464,5002.57
0.000468,4999.75
0.000472,4995.35
0.000476,5000.85
0.00048,5000.63
0.000484,5002.07
0.000488,4999.72
0.000492,4999.2
0.000496,5002.68
0.0005,4999.86
0.000504,4998.09
0.000508,5001.52
0.000512,5000.14
0.000516,4997.91
0.00052,4996.76
0.000524,4998.24
0.000528,4998.93
0.000532,5000.33
0.000536,5002.59
0.00054,5001.9
0.000544,5004.54
0.000548,5001.82
0.000552,5000.28
0.000556,4999.4
0.00056,4998.62
0.000564,4999.94
0.000568,4999.98
0.000572,4998.6
0.000576,5001.55
0.00058,4998.93
0.000584,4999.3
0.000588,5001.32
0.000592,5000.78
0.000596,4999.56
0.0006,4999.55
0.000604,5001.92
0.000608,5001.52
0.000612,4999.29
0.000616,4999.73
0.00062,4996.83
0.000624,5003.76
0.000628,5001.84
0.000632,5000.21
0.000636,4998.75
0.00064,4999.86
0.000644,4999.19
0.000648,4999.09
0.000652,5001.11
0.000656,4999.6
0.00066,5001.06
0.000664,5001.7
0.000668,5001.34
0.000672,4998.39
0.000676,5000.12
0.00068,5000.45
0.000684,4998.81
0.000688,5000.86
0.000692,4997.71
0.000696,5000.54
0.0007,5000.1
0.000704,4998.15
0.000708,5003.23
0.000712,4999.58
0.000716,5000.03
0.00072,4998.31
0.000724,5001.55
0.000728,5000.23
0.000732,5000.53
0.000736,5000.57
0.00074,4999.28
0.000744,4998.15
0.000748,4999.84
0.000752,5000.27
0.000756,5002.59
0.00076,5000.84
0.000764,5000.22
0.000768,4999.46
0.000772,4997.41
0.000776,4998.45
0.00078,5000.82
0.000784,4999.09
0.000788,4999.94
0.000792,5003.56
0.000796,4999.52
0.0008,5002.14
0.000804,5001.12
0.000808,4998.09
0.000812,4997.98
0.000816,4999.09
0.00082,4999.64
0.000824,5000.47
0.000828,5001.83
0.000832,5000.42
0.000836,5000.75
0.00084,5001.57
0.000844,5000.98
0.000848,4998.56
0.000852,4999.96
0.000856,4998.55
0.00086,5001.12
0.000864,5000.19
0.000868,5001.32
0.000872,4998.02
0.000876,4999.64
0.00088,4999.47
0.000884,4999.76
0.000888,5001.7
0.000892,5001.73
0.000896,4998.75
0.0009,4998.05
0.000904,4998.92
0.000908,4999.36
0.000912,5000.86
0.000916,4999.61
0.00092,4999.22
0.000924,4999.87
0.000928,5000.01
0.000932,5001.02
0.000936,5002.12
0.00094,4999.04
0.000944,5000.16
0.000948,4999.63
0.000952,5000.3
0.000956,5001.54
0.00096,5001.38
0.000964,5001.87
0.000968,5002.88
0.000972,5001.59
0.000976,4999.96
0.00098,4999.1
0.000984,5001.06
0.000988,4998.25
0.000992,5003.47
0.000996,4997.58
0.001,4921.32
0.001004,4923.4
0.001008,4922.06
0.001012,4924.79
0.001016,4927.89
0.00102,4923.9
0.001024,4926.46
0.001028,4928.58
0.001032,4928.2
0.001036,4930.09
0.00104,4931.14
0.001044,4930.3
0.001048,4934.87
0.001052,4934.76
0.001056,4935.88
0.00106,4937.19
0.001064,4939
0.001068,4941.85
0.001072,4945.58
0.001076,4943.11
0.00108,4947.49
0.001084,4949.52
0.001088,4949.96
0.001092,4950.84
0.001096,4954.52
0.0011,4955.91
0.001104,4958.56
0.001108,4959.71
0.001112,4959.17
0.001116,4961.64
0.00112,4965.01
0.001124,4965.81
0.001128,4968.14
0.001132,4967.45
0.001136,4972.24
0.00114,4975.25
0.001144,4973.23
0.001148,4976.97
0.001152,4977.54
0.001156,4980.31
0.00116,4981.62
0.001164,4982
0.001168,4982.25
0.001172,4981.47
0.001176,4985.32
0.00118,4986.25
0.001184,4987.8
0.001188,4988.51
0.001192,4990.31
0.001196,4989.3
0.0012,4990.35
0.001204,4989.76
0.001208,4993.58
0.001212,4994.74
0.001216,4995.78
0.00122,4994.91
0.001224,4993.21
0.001228,4999.02
0.001232,4996.92
0.001236,4998.03
0.00124,5000.52
0.001244,5002.01
0.001248,4999.3
0.001252,5003.58
0.001256,5001.41
0.00126,5001.28
0.001264,5001.13
0.001268,5005.72
0.001272,5001.94
0.001276,5002.83
0.00128,5001.96
0.001284,5001.48
0.001288,5006.3
0.001292,5004.39
0.001296,5005.68
0.0013,5002.48
0.001304,5006.9
0.001308,5005.95
0.001312,5003.95
0.001316,5006.73
0.00132,5002.51
0.001324,5006.67
0.001328,5007.68
0.001332,5005.12
0.001336,5002.85
0.00134,5003.82
0.001344,5005.64
0.001348,5005.25
0.001352,5003.12
0.001356,5001.97
0.00136,5004.83
0.001364,5003.16
0.001368,5006.14
0.001372,5005.56
0.001376,5005.38
0.00138,5003.86
0.001384,5004.55
0.001388,5004.27
0.001392,5002.62
0.001396,5002.83
0.0014,5005.08
0.001404,5004.39
0.001408,5003.1
0.001412,5004.77
0.001416,5002.77
0.00142,5003.06
0.001424,5005.63
0.001428,5001.33
0.001432,5003.27
0.001436,5002.54
0.00144,5001.54
0.001444,5001.93
0.001448,5001.81
0.001452,5003.06
0.001456,5004.26
0.00146,5001.17
0.001464,5004.19
0.001468,5003.54
0.001472,5000.68
0.001476,5001
0.00148,5000.35
0.001484,5003.18
0.001488,5001.31
0.001492,5003.36
0.001496,5004.41
0.0015,5003.07
0.001504,5002.14
0.001508,4999.77
0.001512,5000.44
0.001516,5000.96
0.00152,5004.65
0.001524,5002.64
0.001528,5001.33
0.001532,5001.86
0.001536,5001.27
0.00154,4998.79
0.001544,5000.85
0.001548,5003.55
0.001552,5000.08
0.001556,4998.95
0.00156,5001.87
0.001564,4997.95
0.001568,5003.32
0.001572,5000.78
0.001576,5001.21
0.00158,4999.7
0.001584,4999
0.001588,5002.07
0.001592,4997.79
0.001596,4998.32
0.0016,5002.24
0.001604,5000.75
0.001608,4999.04
0.001612,5003.15
0.001616,5000.81
0.00162,5000.49
0.001624,4999.19
0.001628,5000.1
0.001632,4998.43
0.001636,4998.43
0.00164,5001.94
0.001644,5001.88
0.001648,5000.37
0.001652,5001.23
0.001656,4998.39
0.00166,5000.1
0.001664,4999.39
0.001668,5000.09
0.001672,4998.65
0.001676,4998.05
0.00168,5000.07
0.001684,5001.1
0.001688,4999.1
0.001692,4998.97
0.001696,5001.54
0.0017,5000.57
0.001704,4999.83
0.001708,4997.53
0.001712,4997.95
0.001716,4998.79
0.00172,4997.89
0.001724,5001.26
0.001728,5000.82
0.001732,4997.43
0.001736,4999.8
0.00174,4998.73
0.001744,5000.25
0.001748,5001.43
0.001752,5000.18
0.001756,4998.4
0.00176,4997.61
0.001764,5000.8
0.001768,4999.63
0.001772,5000.14
0.001776,4996.93
0.00178,5002.39
0.001784,5000.25
0.001788,4997.55
0.001792,5001.22
0.001796,4999.13
0.0018,4997.61
0.001804,4999.05
0.001808,5000.11
0.001812,4997.27
0.001816,4998.81
0.00182,4998.68
0.001824,4999.68
0.001828,5000.51
0.001832,4999.08
0.001836,5000.35
0.00184,5000.02
0.001844,4999.73
0.001848,4999.54
0.001852,5002.33
0.001856,4999.94
0.00186,5002.18
0.001864,5001.02
0.001868,5001.17
0.001872,5000.6
0.001876,4997.99
0.00188,5000.04
0.001884,4999.04
0.001888,4998.34
0.001892,5001.69
0.001896,4997.07
0.0019,5001.08
0.001904,4998.62
0.001908,5002.93
0.001912,4998.67
0.001916,5001.41
0.00192,5001.05
0.001924,5001.44
0.001928,4997.25
0.001932,4999.46
0.001936,4998.95
0.00194,5001.2
0.001944,4997.82
0.001948,5000.85
0.001952,4999.62
0.001956,5000.39
0.00196,5001.15
0.001964,5000.18
0.001968,5001.79
0.001972,4999.71
0.001976,5000.8
0.00198,4999.4
0.001984,4998.67
0.001988,5001.52
0.001992,5000.17
0.001996,4999.06
0.002,5000.53
0.002004,5000.97
0.002008,5002.51
0.002012,5001.53
0.002016,4998.65
0.00202,5001.16
0.002024,4999.57
0.002028,4997.64
0.002032,4998.27
0.002036,5001.23
0.00204,5000.28
0.002044,5001.78
0.002048,4999.74
0.002052,5000.61
0.002056,4997.57
0.00206,4999.78
0.002064,4999.36
0.002068,4999.22
0.002072,4996.97
0.002076,4997.41
0.00208,5000.17
0.002084,5002.94
0.002088,5000.24
0.002092,4998.61
0.002096,4999.14
0.0021,4998.97
0.002104,4999.02
0.002108,4997.08
0.002112,5001.13
0.002116,5000.29
0.00212,4999.74
0.002124,4998.64
0.002128,4997.95
0.002132,5000.58
0.002136,4999.37
0.00214,5002.76
0.002144,5000.4
0.002148,4998.71
0.002152,5000.08
0.002156,5000.91
0.00216,5001.67
0.002164,4998.49
0.002168,4998.65
0.002172,5000.96
0.002176,5000.64
0.00218,4999.57
0.002184,4999.47
0.002188,5000.27
0.002192,4997.84
0.002196,5002.69
0.0022,5003.19
0.002204,5000.99
0.002208,5000.36
0.002212,4998.38
0.002216,4998.55
0.00222,5000.07
0.002224,4997.15
0.002228,4997.75
0.002232,5001.97
0.002236,4998.15
0.00224,4999.42
0.002244,5000.23
0.002248,5002.59
0.002252,5000.82
0.002256,5000.24
0.00226,4998.57
0.002264,4999.42
0.002268,5000.32
0.002272,4998.41
0.002276,5000.27
0.00228,5003.42
0.002284,4999.26
0.002288,5002.29
0.002292,5001.35
0.002296,5001.89
0.0023,5000.8
0.002304,4999.09
0.002308,5000.64
0.002312,5003.19
0.002316,4997.56
0.00232,5001.84
0.002324,5001.51
0.002328,4999.11
0.002332,5000.28
0.002336,5001.55
0.00234,5000.21
0.002344,4998.69
0.002348,4999.31
0.002352,4999.38
0.002356,5002.8
0.00236,4999.2
0.002364,4999.09
0.002368,4997.67
0.002372,4998.18
0.002376,5001.66
0.00238,5003.16
0.002384,5000.91
0.002388,4999.98
0.002392,5002.09
0.002396,4999.43
0.0024,4997.75
0.002404,5002.33
0.002408,4998.01
0.002412,4999.44
0.002416,4999.61
0.00242,5002.07
0.002424,5001.08
0.002428,4999.58
0.002432,5001.8
0.002436,4999.88
0.00244,4999.68
0.002444,4998.83
0.002448,4996.21
0.002452,4999.64
0.002456,4997.95
0.00246,5000.61
0.002464,5001.75
0.002468,5000.31
0.002472,4998.8
0.002476,5002.04
0.00248,5001.94
0.002484,4999.09
0.002488,4999.48
0.002492,5000.78
0.002496,5002.49
0.0025,5000.02
0.002504,4997.55
0.002508,5000.63
0.002512,4998.65
0.002516,5002.43
0.00252,4999.42
0.002524,5002.01
0.002528,4998.92
0.002532,4999.87
0.002536,5000.1
0.00254,4999.39
0.002544,5001.23
0.002548,4997.98
0.002552,5001.36
0.002556,5002.96
0.00256,4999.1
0.002564,4998.18
0.002568,5002.7
0.002572,4999.67
0.002576,4999.47
0.00258,4998.21
0.002584,4998.4
0.002588,5000.65
0.002592,4999.31
0.002596,4997.87
0.0026,5000.1
0.002604,4996.18
0.002608,4999.59
0.002612,4996.12
0.002616,5000.61
0.00262,4999.18
0.002624,4998.23
0.002628,5001.02
0.002632,4998.82
0.002636,4999.61
0.00264,4999.98
0.002644,4996.86
0.002648,5001.17
0.002652,4999.97
0.002656,5001.08
0.00266,5000.25
0.002664,5000.78
0.002668,4997.66
0.002672,4999.8
0.002676,5000.64
0.00268,4999.79
0.002684,5000.1
0.002688,5000.32
0.002692,4999.69
0.002696,4999.16
0.0027,5003.2
0.002704,5001.68
0.002708,4999.67
0.002712,5000.27
0.002716,4999.14
0.00272,4999.53
0.002724,4999.97
0.002728,4999.09
0.002732,5000.17
0.002736,5000.94
0.00274,4999.07
0.002744,4998.73
0.002748,4999.7
0.002752,4998.11
0.002756,5001.27
0.00276,5001.11
0.002764,5001.81
0.002768,4999.87
0.002772,5002.63
0.002776,4998.82
0.00278,4999.07
0.002784,4999.39
0.002788,4999.86
0.002792,4997.83
0.002796,5000.02
0.0028,5000.77
0.002804,5001.17
0.002808,5001.36
0.002812,5001.81
0.002816,5000.89
0.00282,5004.54
0.002824,4997.74
0.002828,4998.62
0.002832,4998.52
0.002836,5000.98
0.00284,5000.78
0.002844,5002.43
0.002848,5000.93
0.002852,4999.84
0.002856,5002.88
0.00286,5000.22
0.002864,4997.64
0.002868,4997.64
0.002872,4998.64
0.002876,5000.68
0.00288,5000.86
0.002884,4998.08
0.002888,5002.02
0.002892,4999.28
0.002896,5002.02
0.0029,4999.63
0.002904,4999.7
0.002908,4999.75
0.002912,4999.93
0.002916,5001.91
0.00292,5001.92
0.002924,5001.53
0.002928,4999.68
0.002932,5001.02
0.002936,4996.65
0.00294,4999.52
0.002944,5000.42
0.002948,4998.67
0.002952,4999.03
0.002956,4997.36
0.00296,4998.94
0.002964,5000.67
0.002968,4999.7
0.002972,5000.59
0.002976,4997.64
0.00298,4996.98
0.002984,4999.19
0.002988,5000.47
0.002992,4998.59
0.002996,5000.65
0.003,5000
0.003004,4999.58
0.003008,5001.38
0.003012,5004.31
0.003016,5002.71
0.00302,5001.34
0.003024,5005.57
0.003028,5001.93
0.003032,5001.44
0.003036,5005.52
0.00304,5006.28
0.003044,5005.04
0.003048,5005.86
0.003052,5003.58
0.003056,5008.44
0.00306,5006.32
0.003064,5006.6
0.003068,5005.28
0.003072,5010.74
0.003076,5007.48
0.00308,5008.63
0.003084,5008.76
0.003088,5007.9
0.003092,5009.54
0.003096,5010.92
0.0031,5011.66
0.003104,5014.06
0.003108,5011.12
0.003112,5011.13
0.003116,5012.83
0.00312,5011.21
0.003124,5011.09
0.003128,5014.03
0.003132,5012.54
0.003136,5013.93
0.00314,5016.91
0.003144,5018.19
0.003148,5015.96
0.003152,5012.54
0.003156,5016.5
0.00316,5017.93
0.003164,5015.96
0.003168,5019.01
0.003172,5016.26
0.003176,5018.45
0.00318,5019.29
0.003184,5021.45
0.003188,5017.67
0.003192,5020.25
0.003196,5018.84
0.0032,5023.06
0.003204,5021.36
0.003208,5021.29
0.003212,5023.93
0.003216,5024.1
0.00322,5023.65
0.003224,5028.08
0.003228,5023.46
0.003232,5023.84
0.003236,5025.02
0.00324,5027.02
0.003244,5024.43
0.003248,5024.49
0.003252,5027.56
0.003256,5027.45
0.00326,5025.45
0.003264,5028.53
0.003268,5028.28
0.003272,5032.13
0.003276,5030.81
0.00328,5030.3
0.003284,5032.02
0.003288,5031.42
0.003292,5030.67
0.003296,5033.76
0.0033,5032.28
0.003304,5034.49
0.003308,5032.34
0.003312,5031.65
0.003316,5035.88
0.00332,5032.03
0.003324,5034.4
0.003328,5034.15
0.003332,5036.1
0.003336,5034.68
0.00334,5036.13
0.003344,5039.68
0.003348,5038.4
0.003352,5040.94
0.003356,5036.14
0.00336,5039.93
0.003364,5037.87
0.003368,5038.92
0.003372,5039.1
0.003376,5043.5
0.00338,5041.65
0.003384,5041.37
0.003388,5040.06
0.003392,5040.7
0.003396,5041.22
0.0034,5043.27
0.003404,5042.89
0.003408,5042.86
0.003412,5043.15
0.003416,5046.21
0.00342,5042.44
0.003424,5046.85
0.003428,5045.77
0.003432,5048.9
0.003436,5045.52
0.00344,5045.35
0.003444,5049.33
0.003448,5048.42
0.003452,5043.97
0.003456,5049.56
0.00346,5049.01
0.003464,5049.94
0.003468,5047.72
0.003472,5049.16
0.003476,5051.83
0.00348,5052.57
0.003484,5051.29
0.003488,5053.03
0.003492,5053.83
0.003496,5053.09
0.0035,5052.4
0.003504,5054.23
0.003508,5053.15
0.003512,5053.74
0.003516,5054.93
0.00352,5052.11
0.003524,5053.91
0.003528,5054.47
0.003532,5057.44
0.003536,5058.13
0.00354,5056.72
0.003544,5058.8
0.003548,5060.12
0.003552,5059.4
0.003556,5059.79
0.00356,5061.58
0.003564,5059.55
0.003568,5061.34
0.003572,5062.47
0.003576,5062.66
0.00358,5062.52
0.003584,5063
0.003588,5062.28
0.003592,5064.02
0.003596,5065.92
0.0036,5062.22
0.003604,5064.94
0.003608,5064.8
0.003612,5065.82
0.003616,5066.47
0.00362,5066.61
0.003624,5068.17
0.003628,5066.65
0.003632,5066.3
0.003636,5071.52
0.00364,5067.89
0.003644,5070.63
0.003648,5069.23
0.003652,5072.13
0.003656,5070.46
0.00366,5070.13
0.003664,5070.96
0.003668,5069.69
0.003672,5073.63
0.003676,5073.94
0.00368,5072.37
0.003684,5072.66
0.003688,5073.72
0.003692,5074.01
0.003696,5074.09
0.0037,5075.62
0.003704,5074.56
0.003708,5074.41
0.003712,5076.94
0.003716,5077.34
0.00372,5079.7
0.003724,5080.09
0.003728,5077.91
0.003732,5079.67
0.003736,5078.96
0.00374,5078.69
0.003744,5080.25
0.003748,5079.21
0.003752,5079.11
0.003756,5080.5
0.00376,5079.98
0.003764,5083.17
0.003768,5081.11
0.003772,5083.74
0.003776,5083.38
0.00378,5082.8
0.003784,5084.42
0.003788,5084.05
0.003792,5083.43
0.003796,5086.13
0.0038,5083.99
0.003804,5085.62
0.003808,5085.52
0.003812,5087.57
0.003816,5085.41
0.00382,5089.06
0.003824,5089.74
0.003828,5089.27
0.003832,5088.59
0.003836,5087.32
0.00384,5091.06
0.003844,5091.87
0.003848,5092.97
0.003852,5090.07
0.003856,5093.39
0.00386,5091.32
0.003864,5094.63
0.003868,5090.26
0.003872,5094.9
0.003876,5092.45
0.00388,5094.06
0.003884,5094.06
0.003888,5092.08
0.003892,5096.56
0.003896,5096.69
0.0039,5099.82
0.003904,5095.16
0.003908,5098.33
0.003912,5099.22
0.003916,5097.25
0.00392,5097.83
0.003924,5098.22
0.003928,5100.02
0.003932,5099.58
0.003936,5099.71
0.00394,5100.98
0.003944,5100.02
0.003948,5101.53
0.003952,5104.09
0.003956,5101.86
0.00396,5103.84
0.003964,5102.98
0.003968,5103.1
0.003972,5105.96
0.003976,5103.12
0.00398,5105.5
0.003984,5106.67
0.003988,5106.19
0.003992,5108.01
0.003996,5107.78
0.004,5107.12
0.004004,5105.34
0.004008,5107.79
0.004012,5110.1
0.004016,5108.3
0.00402,5111.27
0.004024,5108.99
0.004028,5110.19
0.004032,5112.02
0.004036,5109.28
0.00404,5112.13
0.004044,5110.8
0.004048,5114.45
0.004052,5111.28
0.004056,5113.4
0.00406,5115.42
0.004064,5114.39
0.004068,5115.95
0.004072,5114.47
0.004076,5113.44
0.00408,5117.09
0.004084,5114.62
0.004088,5115.91
0.004092,5118.75
0.004096,5118.09
0.0041,5117.61
0.004104,5117.69
0.004108,5119.16
0.004112,5118.15
0.004116,5120.07
0.00412,5122.13
0.004124,5118.89
0.004128,5119.03
0.004132,5122.5
0.004136,5121.67
0.00414,5123.03
0.004144,5126.39
0.004148,5124.21
0.004152,5123.85
0.004156,5123.78
0.00416,5123.24
0.004164,5126.13
0.004168,5124.27
0.004172,5127.99
0.004176,5125.26
0.00418,5125.85
0.004184,5125.28
0.004188,5128.48
0.004192,5126.98
0.004196,5129.33
0.0042,5129.61
0.004204,5131.02
0.004208,5130.09
0.004212,5128.52
0.004216,5131.47
0.00422,5132.23
0.004224,5130.57
0.004228,5130.95
0.004232,5131.61
0.004236,5131.68
0.00424,5131.65
0.004244,5134.65
0.004248,5131.98
0.004252,5136.45
0.004256,5137.35
0.00426,5135.08
0.004264,5136.97
0.004268,5136.42
0.004272,5137.59
0.004276,5137.45
0.00428,5138.45
0.004284,5139.12
0.004288,5137.82
0.004292,5138.67
0.004296,5134.79
0.0043,5137.01
0.004304,5139.42
0.004308,5140.36
0.004312,5140.93
0.004316,5140.56
0.00432,5140.62
0.004324,5142.25
0.004328,5141.13
0.004332,5142.08
0.004336,5142.15
0.00434,5142.07
0.004344,5146.56
0.004348,5146.25
0.004352,5144.65
0.004356,5144.53
0.00436,5147.12
0.004364,5146.35
0.004368,5150.08
0.004372,5148.06
0.004376,5147.98
0.00438,5149.84
0.004384,5149.85
0.004388,5147.28
0.004392,5149.21
0.004396,5150.89
0.0044,5149.03
0.004404,5150.53
0.004408,5151.38
0.004412,5149.09
0.004416,5151.97
0.00442,5152.34
0.004424,5155.19
0.004428,5154.81
0.004432,5152.32
0.004436,5155.43
0.00444,5155.22
0.004444,5153.79
0.004448,5155.03
0.004452,5154.7
0.004456,5158.58
0.00446,5158.15
0.004464,5156.37
0.004468,5159.94
0.004472,5157.55
0.004476,5156.61
0.00448,5156.93
0.004484,5156.5
0.004488,5160.03
0.004492,5161.49
0.004496,5162.35
0.0045,5162.61
0.004504,5158.73
0.004508,5163.19
0.004512,5160.9
0.004516,5164.49
0.00452,5164.86
0.004524,5162.8
0.004528,5164.4
0.004532,5164.31
0.004536,5164.82
0.00454,5165.71
0.004544,5165.21
0.004548,5164.57
0.004552,5167.64
0.004556,5165.81
0.00456,5166.5
0.004564,5168.93
0.004568,5165.69
0.004572,5168.98
0.004576,5171.77
0.00458,5168.53
0.004584,5171.22
0.004588,5166.88
0.004592,5171.11
0.004596,5173.42
0.0046,5172.26
0.004604,5170.06
0.004608,5171.94
0.004612,5173.12
0.004616,5173.81
0.00462,5173.26
0.004624,5172.76
0.004628,5172.99
0.004632,5174.46
0.004636,5175.28
0.00464,5177.56
0.004644,5178.42
0.004648,5174.44
0.004652,5178.22
0.004656,5180.2
0.00466,5176.16
0.004664,5181.14
0.004668,5179.91
0.004672,5177.88
0.004676,5179.58
