run_id,bucket,rules_pass,measurable,triage_reason,duplicate_of,note,should_flag,hidden_from_rules
run_001,clean,True,True,nothing flagged,,well behaved,False,False
run_002,clean,True,True,nothing flagged,,well behaved,False,False
run_003,clean,True,True,nothing flagged,,well behaved,False,False
run_004,clean,True,True,nothing flagged,,well behaved,False,False
run_005,clean,True,True,nothing flagged,,well behaved,False,False
run_006,clean,True,True,nothing flagged,,well behaved,False,False
run_007,clean,True,True,nothing flagged,,well behaved,False,False
run_008,clean,True,True,nothing flagged,,well behaved,False,False
run_009,clean,True,True,nothing flagged,,well behaved,False,False
run_010,clean,True,True,nothing flagged,,well behaved,False,False
run_011,clean,True,True,nothing flagged,,well behaved,False,False
run_012,clean,True,True,nothing flagged,,well behaved,False,False
run_013,clean,True,True,nothing flagged,,well behaved,False,False
run_014,clean,True,True,nothing flagged,,well behaved,False,False
run_015,clean,True,True,nothing flagged,,well behaved,False,False
run_016,clean,True,True,nothing flagged,,well behaved,False,False
run_017,clean,True,True,nothing flagged,,well behaved,False,False
run_018,clean,True,True,nothing flagged,,well behaved,False,False
run_019,clean,True,True,nothing flagged,,well behaved,False,False
run_020,clean,True,True,nothing flagged,,well behaved,False,False
run_021,clean,True,True,nothing flagged,,well behaved,False,False
run_022,clean,True,True,nothing flagged,,well behaved,False,False
run_023,clean,True,True,nothing flagged,,well behaved,False,False
run_024,clean,True,True,nothing flagged,,well behaved,False,False
run_025,clean,True,True,nothing flagged,,well behaved,False,False
run_026,clean,True,True,nothing flagged,,well behaved,False,False
run_027,clean,True,True,nothing flagged,,well behaved,False,False
run_028,clean,True,True,nothing flagged,,well behaved,False,False
run_029,clean,True,True,nothing flagged,,well behaved,False,False
run_030,clean,True,True,nothing flagged,,well behaved,False,False
run_031,clean,True,True,nothing flagged,,well behaved,False,False
run_032,clean,True,True,nothing flagged,,well behaved,False,False
run_033,clean,True,True,nothing flagged,,well behaved,False,False
run_034,clean,True,True,nothing flagged,,well behaved,False,False
run_035,clean,True,True,nothing flagged,,well behaved,False,False
run_036,clean,True,True,nothing flagged,,well behaved,False,False
run_037,clean,True,True,nothing flagged,,well behaved,False,False
run_038,clean,True,True,nothing flagged,,well behaved,False,False
run_039,clean,True,True,nothing flagged,,well behaved,False,False
run_040,clean,True,True,nothing flagged,,well behaved,False,False
run_041,clean,True,True,nothing flagged,,well behaved,False,False
run_042,clean,True,True,nothing flagged,,well behaved,False,False
run_043,clean,True,True,nothing flagged,,well behaved,False,False
run_044,clean,True,True,nothing flagged,,well behaved,False,False
run_045,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_046,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_047,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_048,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_049,clean,True,True,passes with only 6% margin,,healthy but noisy - real data looks like this,True,True
run_050,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_051,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_052,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_053,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_054,clean,True,True,nothing flagged,,healthy but noisy - real data looks like this,False,False
run_055,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
run_056,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
run_057,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
run_058,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
run_059,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
run_060,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
run_061,passes_but_wrong,True,True,dipped a second time after the rules stopped looking,,"recovers, then dips a second time at ~4 ms",True,True
