time_s,v_out_mV
0,5010.78
4e-06,5009.3
8e-06,5007.86
1.2e-05,5005.7
1.6e-05,5013.3
2e-05,5007.67
2.4e-05,5004.93
2.8e-05,5003.32
3.2e-05,5001.64
3.6e-05,5014.72
4e-05,5012.55
4.4e-05,5015.69
4.8e-05,5017.51
5.2e-05,4998.45
5.6e-05,5004.49
6e-05,5014.73
6.4e-05,5006.86
6.8e-05,5005.23
7.2e-05,5002.73
7.6e-05,5015.05
8e-05,5014.32
8.4e-05,5013.54
8.8e-05,5006.32
9.2e-05,5013.74
9.6e-05,5013.86
0.0001,5005.91
0.000104,5004.1
0.000108,5005.64
0.000112,5016.83
0.000116,5003.92
0.00012,5006.84
0.000124,5002.56
0.000128,5002.19
0.000132,4992.8
0.000136,5012.42
0.00014,5008.39
0.000144,5007.21
0.000148,5019.26
0.000152,5009.1
0.000156,5008.22
0.00016,5015.82
0.000164,5006.16
0.000168,5011.64
0.000172,5007.3
0.000176,5002.89
0.00018,5011.59
0.000184,5008.17
0.000188,5004.34
0.000192,5012.27
0.000196,5013.39
0.0002,5015.27
0.000204,5004.31
0.000208,5004.15
0.000212,5014.22
0.000216,5014.1
0.00022,5010.46
0.000224,5009.02
0.000228,5006.76
0.000232,5006
0.000236,5012.12
0.00024,5016.44
0.000244,5016.12
0.000248,5011.82
0.000252,5020.63
0.000256,5004.72
0.00026,5002.24
0.000264,5008.8
0.000268,5015.84
0.000272,5004.35
0.000276,5006.93
0.00028,5017.71
0.000284,5011.74
0.000288,5005.7
0.000292,5003.4
0.000296,5011.89
0.0003,5003.34
0.000304,4999.28
0.000308,5008.43
0.000312,5009.83
0.000316,5011.37
0.00032,5005.53
0.000324,5010.86
0.000328,5003.24
0.000332,5012.06
0.000336,5004.87
0.00034,5000.09
0.000344,5011.01
0.000348,5007.57
0.000352,5011.92
0.000356,5008.65
0.00036,5016.79
0.000364,5004.6
0.000368,5006.81
0.000372,5009.61
0.000376,5014.3
0.00038,5006.96
0.000384,5003.9
0.000388,5012.54
0.000392,5008.62
0.000396,5007.82
0.0004,5009.66
0.000404,5007.65
0.000408,5007.96
0.000412,5017.44
0.000416,5003
0.00042,5018.33
0.000424,5007.23
0.000428,5009
0.000432,5011.76
0.000436,5005.17
0.00044,5008.89
0.000444,5004.07
0.000448,5000.65
0.000452,5015.95
0.000456,5011.39
0.00046,5005.35
0.000464,5006.67
0.000468,5009.84
0.000472,5006.15
0.000476,5015.15
0.00048,5005.01
0.000484,5008.28
0.000488,5010.86
0.000492,5009.36
0.000496,5006.1
0.0005,5010.09
0.000504,5006.76
0.000508,5002.22
0.000512,5000.69
0.000516,5009.83
0.00052,5008.94
0.000524,5009.45
0.000528,5012.19
0.000532,5008.9
0.000536,5012.81
0.00054,5016
0.000544,5010.87
0.000548,5006.87
0.000552,5002.68
0.000556,5008.13
0.00056,5002.02
0.000564,5016.23
0.000568,5006.93
0.000572,4995.48
0.000576,5013.01
0.00058,5010.97
0.000584,5008.75
0.000588,4999.96
0.000592,5007.6
0.000596,5004.52
0.0006,5000.76
0.000604,5009.04
0.000608,5011.8
0.000612,4997.39
0.000616,4999.28
0.00062,5012.99
0.000624,5015.06
0.000628,5008.62
0.000632,5006.57
0.000636,5009.19
0.00064,5006.82
0.000644,5010.46
0.000648,5004.11
0.000652,4998.04
0.000656,5001.7
0.00066,5009.96
0.000664,5020.34
0.000668,5014.96
0.000672,5001.14
0.000676,5010.35
0.00068,4999.09
0.000684,5009
0.000688,5012.21
0.000692,5013.6
0.000696,5009.09
0.0007,5010.78
0.000704,5009.27
0.000708,5005.97
0.000712,5003.35
0.000716,5005.07
0.00072,5006.31
0.000724,5012.6
0.000728,5008.85
0.000732,5013.68
0.000736,4998.42
0.00074,5012.19
0.000744,5012.26
0.000748,5008.6
0.000752,5003.6
0.000756,5005.46
0.00076,5013.18
0.000764,5019.74
0.000768,5010.04
0.000772,5011.46
0.000776,5006.66
0.00078,5002.79
0.000784,5007.16
0.000788,5002.62
0.000792,5010.05
0.000796,5014.68
0.0008,5004.95
0.000804,5007.19
0.000808,5002.72
0.000812,5008.39
0.000816,5007.8
0.00082,5006.82
0.000824,5002.62
0.000828,5004.33
0.000832,5010.59
0.000836,5009.5
0.00084,5000.59
0.000844,5008.88
0.000848,5001.75
0.000852,5007.13
0.000856,5007.87
0.00086,5008.9
0.000864,5012.56
0.000868,5010.39
0.000872,5021.89
0.000876,4995.4
0.00088,5005.73
0.000884,5014.76
0.000888,5001.22
