run_id,status,measurable,rules_pass,rule_dip_mV,rule_settle_us,margin_pct,never_settled,full_dip_mV,final_level_mV,final_error_mV,n_excursions,second_dip,late_activity,last_excursion_ms,wobble_count,flat,duration_requested_ms,duration_actual_ms,stopped_early,duplicate_of,sha1,trace_path,log_excerpt
run_001,ok,True,True,73.2,56.0,51.2,False,73.2,4999.9,-0.1,1.0,False,False,1.06,0.0,False,10.0,9.996,False,,9d8d639ddb87,raw/run_001.csv,
run_002,ok,True,True,94.9,84.0,36.8,False,94.9,4999.8,-0.2,1.0,False,False,1.08,0.0,False,10.0,9.996,False,,9e347bb0a516,raw/run_002.csv,
run_003,ok,True,True,85.6,68.0,42.9,False,85.6,4999.9,-0.1,1.0,False,False,1.07,0.0,False,10.0,9.996,False,,6dae59f07f31,raw/run_003.csv,
run_004,ok,True,True,99.7,100.0,33.5,False,99.7,5000.0,-0.0,1.0,False,False,1.1,0.0,False,10.0,9.996,False,,0934b179d051,raw/run_004.csv,
run_005,ok,True,True,126.9,148.0,15.4,False,126.9,4999.7,-0.3,1.0,False,False,1.15,0.0,False,10.0,9.996,False,,46ece680b625,raw/run_005.csv,
run_006,ok,True,True,110.7,132.0,26.2,False,110.7,4999.8,-0.2,1.0,False,False,1.13,0.0,False,10.0,9.996,False,,fa741458f27d,raw/run_006.csv,
run_007,ok,True,True,114.6,148.0,23.6,False,114.6,5000.2,0.2,1.0,False,False,1.15,0.0,False,10.0,9.996,False,,005037e1f99e,raw/run_007.csv,
run_008,ok,True,True,84.1,84.0,43.9,False,84.1,5000.1,0.1,1.0,False,False,1.08,0.0,False,10.0,9.996,False,,9d691721afb0,raw/run_008.csv,
run_009,ok,True,True,105.3,124.0,29.8,False,105.3,5000.1,0.1,1.0,False,False,1.12,0.0,False,10.0,9.996,False,,05a2fa197278,raw/run_009.csv,
run_010,ok,True,True,96.4,92.0,35.8,False,96.4,4999.9,-0.1,1.0,False,False,1.09,0.0,False,10.0,9.996,False,,29dc519c5424,raw/run_010.csv,
run_011,ok,True,True,74.1,100.0,50.6,False,74.1,5000.2,0.2,1.0,False,False,1.1,0.0,False,10.0,9.996,False,,f3d09eb6df2d,raw/run_011.csv,
run_012,ok,True,True,76.2,124.0,49.2,False,76.2,5000.0,0.0,1.0,False,False,1.12,0.0,False,10.0,9.996,False,,5836573a2fce,raw/run_012.csv,
run_013,ok,True,True,104.2,144.0,30.5,False,104.2,5000.2,0.2,1.0,False,False,1.14,0.0,False,10.0,9.996,False,,530c256cc4c2,raw/run_013.csv,
run_014,ok,True,True,61.2,44.0,59.2,False,61.2,4999.7,-0.3,1.0,False,False,1.04,0.0,False,10.0,9.996,False,,450a5ad3a3d6,raw/run_014.csv,
