time_s,v_out_mV
0,4978.83
4e-06,4977.96
8e-06,4974.33
1.2e-05,4978.66
1.6e-05,4981.66
2e-05,4982.16
2.4e-05,4977.07
2.8e-05,4983.56
3.2e-05,4980.07
3.6e-05,4978.01
4e-05,4977.77
4.4e-05,4979.02
4.8e-05,4974.76
5.2e-05,4972.11
5.6e-05,4979.57
6e-05,4983.14
6.4e-05,4988.07
6.8e-05,4981.05
7.2e-05,4979.93
7.6e-05,4977.92
8e-05,4975.19
8.4e-05,4990.22
8.8e-05,4982.8
9.2e-05,4973.24
9.6e-05,4988.83
0.0001,4976.13
0.000104,4980.37
0.000108,4979.26
0.000112,4966.57
0.000116,4979.24
0.00012,4975.8
0.000124,4980.27
0.000128,4981
0.000132,4975.15
0.000136,4977.74
0.00014,4985.41
0.000144,4974.42
0.000148,4982.37
0.000152,4974.14
0.000156,4981.13
0.00016,4982.88
0.000164,4971.34
0.000168,4973.19
0.000172,4989.13
0.000176,4982.09
0.00018,4977.38
0.000184,4986.01
0.000188,4976.73
0.000192,4979.81
0.000196,4990.48
0.0002,4996.58
0.000204,4980.37
0.000208,4977.28
0.000212,4975.93
0.000216,4980.2
0.00022,4986.99
0.000224,4974.37
0.000228,4977.21
0.000232,4980.66
0.000236,4985.54
0.00024,4976.02
0.000244,4970.65
0.000248,4984.04
0.000252,4967.34
0.000256,4979.57
0.00026,4981.72
0.000264,4983.4
0.000268,4988.5
0.000272,4986.79
0.000276,4986.1
0.00028,4975.83
0.000284,4980.67
0.000288,4982.5
0.000292,4974.07
0.000296,4986.88
0.0003,4983.08
0.000304,4978.7
0.000308,4989.77
0.000312,4968.29
0.000316,4975.33
0.00032,4982.66
0.000324,4984.66
0.000328,4978.88
0.000332,4983.38
0.000336,4976.44
0.00034,4977.43
0.000344,4977.72
0.000348,4981.86
0.000352,4976.58
0.000356,4976.76
0.00036,4982.31
0.000364,4983.79
0.000368,4982.46
0.000372,4984.31
0.000376,4970.14
0.00038,4975.23
0.000384,4981.91
0.000388,4983.84
0.000392,4981.78
0.000396,4973.57
0.0004,4972.67
0.000404,4980.44
0.000408,4990.16
0.000412,4982.6
0.000416,4983.54
0.00042,4981.64
0.000424,4975.8
0.000428,4975.52
0.000432,4981.74
0.000436,4983.35
0.00044,4974.46
0.000444,4981.99
0.000448,4991.8
0.000452,4975.17
0.000456,4980.53
0.00046,4981.69
0.000464,4968.15
0.000468,4983.84
0.000472,4974.64
0.000476,4971.59
0.00048,4974.86
0.000484,4985.43
0.000488,4979.99
0.000492,4968.33
0.000496,4975.63
0.0005,4964.49
0.000504,4977.59
0.000508,4981.51
0.000512,4980.4
0.000516,4988.1
0.00052,4987.91
0.000524,4971.71
0.000528,4986.02
0.000532,4973.05
0.000536,4977.56
0.00054,4988.44
0.000544,4979.67
0.000548,4977.17
0.000552,4984.3
0.000556,4982.5
0.00056,4986.22
0.000564,4988.78
0.000568,4981.01
0.000572,4982.04
0.000576,4977.18
0.00058,4972.41
0.000584,4989.97
0.000588,4978.2
0.000592,4987.12
0.000596,4990.66
0.0006,4978.14
0.000604,4984.47
0.000608,4988.34
0.000612,4980.75
0.000616,4988.71
0.00062,4988.69
0.000624,4973.95
0.000628,4984.64
0.000632,4973.44
0.000636,4979.36
0.00064,4981.31
0.000644,4976.88
0.000648,4973.27
0.000652,4979.17
0.000656,4979.93
0.00066,4990.83
0.000664,4980.7
0.000668,4986.77
0.000672,4986
0.000676,4989.39
0.00068,4974.01
0.000684,4983.04
0.000688,4983.74
0.000692,4980.06
0.000696,4973.79
0.0007,4992.62
0.000704,4979.51
0.000708,4984.49
0.000712,4975.44
0.000716,4990.09
0.00072,4983.21
0.000724,4991.32
0.000728,4973.78
0.000732,4979.84
0.000736,4979.94
0.00074,4985.68
0.000744,4986.51
0.000748,4986.72
0.000752,4976.63
0.000756,4984.61
0.00076,4991.42
0.000764,4979.73
0.000768,4988.5
0.000772,4985.17
0.000776,4985.9
0.00078,4976.29
0.000784,4986.18
0.000788,4977.15
0.000792,4975.8
0.000796,4976.33
0.0008,4984.61
0.000804,4984.98
0.000808,4977.72
0.000812,4974.1
0.000816,4971.56
0.00082,4977.67
0.000824,4974.52
0.000828,4988.97
0.000832,4983.76
0.000836,4978.22
0.00084,4979.25
0.000844,4978.6
0.000848,4990.84
0.000852,4991.59
0.000856,4980.34
0.00086,4971.37
0.000864,4979.51
0.000868,4988.53
0.000872,4986.88
0.000876,4977.17
0.00088,4982.19
0.000884,4967.01
0.000888,4978.69
0.000892,4975.84
0.000896,4977.84
0.0009,4988.22
0.000904,4980.01
0.000908,4976
0.000912,4978.96
0.000916,4980.07
0.00092,4974.57
0.000924,4982.99
0.000928,4991.1
0.000932,4979.52
0.000936,4979.49
0.00094,4988.19
0.000944,4984.07
0.000948,4977.52
0.000952,4975.35
0.000956,4980.08
0.00096,4979.28
0.000964,4977.17
0.000968,4983.33
0.000972,4981.85
0.000976,4976.15
0.00098,4971.47
0.000984,4985.82
0.000988,4981.69
0.000992,4995.77
0.000996,4973.8
0.001,4859.56
0.001004,4864.56
0.001008,4858.32
0.001012,4863.9
0.001016,4858.65
0.00102,4861.7
0.001024,4869.26
0.001028,4864.52
0.001032,4863.27
0.001036,4871.09
0.00104,4867.37
0.001044,4866.51
0.001048,4867.02
0.001052,4867.05
0.001056,4868.15
0.00106,4873.85
0.001064,4885.25
0.001068,4879.46
0.001072,4877.33
0.001076,4894.22
0.00108,4878.64
0.001084,4878.65
0.001088,4881.93
0.001092,4893.65
0.001096,4899.57
0.0011,4886.97
0.001104,4886.11
0.001108,4900.39
0.001112,4889.57
0.001116,4892.93
0.00112,4888.83
0.001124,4896.77
0.001128,4904.67
0.001132,4908.54
0.001136,4913.54
0.00114,4897.56
0.001144,4900.96
0.001148,4899.12
0.001152,4908.13
0.001156,4909.96
0.00116,4904.42
0.001164,4918.35
0.001168,4915.72
0.001172,4921.34
0.001176,4920.18
0.00118,4930.63
0.001184,4924.34
0.001188,4926.93
0.001192,4932.12
0.001196,4925.29
0.0012,4935.43
0.001204,4935.91
0.001208,4932.72
0.001212,4929.23
0.001216,4931.68
0.00122,4937.97
0.001224,4933.69
0.001228,4941.18
0.001232,4948.44
0.001236,4944.76
0.00124,4947.13
0.001244,4943.6
0.001248,4953.54
0.001252,4950.91
0.001256,4952.3
0.00126,4946.09
0.001264,4951.37
0.001268,4954.96
0.001272,4957.4
0.001276,4960.32
0.00128,4956.39
0.001284,4947.35
0.001288,4958.79
0.001292,4955.24
0.001296,4970.66
0.0013,4960.86
0.001304,4965.41
0.001308,4955.7
0.001312,4961.72
0.001316,4977.14
0.00132,4967.42
0.001324,4967.93
0.001328,4962.33
